"filename", "language", "TypeScript", "Svelte", "XML", "Python", "JSON", "CSV", "PostCSS", "comment", "blank", "total"
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/cam_letters/camLetterMarkov.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 0, 34, 93
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/cam_letters/camMarkov.ts", "TypeScript", 75, 0, 0, 0, 0, 0, 0, 4, 31, 110
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/churchill/churchillFSM.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 3, 38
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/churchill/churchillMarkov.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 16, 22, 75
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/interactive/TED_Talk.csv", "CSV", 0, 0, 0, 0, 0, 4848, 0, 0, 94, 4942
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/interactive/TED_Talk.json", "JSON", 0, 0, 0, 0, 246672, 0, 0, 0, 0, 246672
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/interactive/makeTedMarkov.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 1, 7, 29
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/pure_algebra/ASDiv.xml", "XML", 0, 0, 16140, 0, 0, 0, 0, 0, 3, 16143
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/pure_algebra/algebraFSM.ts", "TypeScript", 152, 0, 0, 0, 0, 0, 0, 0, 32, 184
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/pure_algebra/algebraMarkov.ts", "TypeScript", 129, 0, 0, 0, 0, 0, 0, 0, 30, 159
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/pure_algebra/algebraicArrayDataset.ts", "TypeScript", 1297, 0, 0, 0, 0, 0, 0, 0, 0, 1297
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/pure_algebra/algebraicExpressions.csv", "CSV", 0, 0, 0, 0, 0, 1272, 0, 0, 1, 1273
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/pure_algebra/algebraicScraper.py", "Python", 0, 0, 0, 16, 0, 0, 0, 1, 10, 27
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/pure_algebra/algebraicStructure.py", "Python", 0, 0, 0, 27, 0, 0, 0, 0, 6, 33
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/python_assignments/createPythonData.py", "Python", 0, 0, 0, 64, 0, 0, 0, 3, 11, 78
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/python_assignments/letFSM.ts", "TypeScript", 114, 0, 0, 0, 0, 0, 0, 13, 11, 138
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/python_assignments/letFSM2.ts", "TypeScript", 243, 0, 0, 0, 0, 0, 0, 11, 12, 266
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/python_assignments/makeMarkovProbsPython.py", "Python", 0, 0, 0, 49, 0, 0, 0, 6, 16, 71
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/python_assignments/markov_transitions.json", "JSON", 0, 0, 0, 0, 3486, 0, 0, 0, 0, 3486
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/python_assignments/pythonMarkov.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/python_assignments/real_dataset/build_dataset.py", "Python", 0, 0, 0, 93, 0, 0, 0, 1, 14, 108
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/python_assignments/real_dataset/real_markov_transitions.json", "JSON", 0, 0, 0, 0, 9651, 0, 0, 0, 0, 9651
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/python_assignments/real_dataset/real_pythonMarkov.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/EDIT_hopcrofts.ts", "TypeScript", 153, 0, 0, 0, 0, 0, 0, 1, 34, 188
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/EDIT_shakeitoffSAM.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 0, 0, 15, 92
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/SAM.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/hierarchical_markov_builder.py", "Python", 0, 0, 0, 63, 0, 0, 0, 0, 11, 74
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/shakeItOffFSM.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 1, 3, 19
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/shakeItOff_2gram_markov.json", "JSON", 0, 0, 0, 0, 1024, 0, 0, 0, 0, 1024
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/shakeItOff_3gram_markov.json", "JSON", 0, 0, 0, 0, 1231, 0, 0, 0, 0, 1231
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/shakeItOff_4gram_markov.json", "JSON", 0, 0, 0, 0, 1353, 0, 0, 0, 0, 1353
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/shakeItOff_Markov.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 2, 2, 8
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/shakeItOff_hierarchical_markov.json", "JSON", 0, 0, 0, 0, 1273, 0, 0, 0, 0, 1273
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/shakeItOff_v2_2gram_markov.json", "JSON", 0, 0, 0, 0, 1024, 0, 0, 0, 0, 1024
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/shakeItOfff_markov_kgrams.py", "Python", 0, 0, 0, 50, 0, 0, 0, 31, 19, 100
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/shakeitoff.ts", "TypeScript", 152, 0, 0, 0, 0, 0, 0, 15, 23, 190
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/utilities/parse_helpers.py", "Python", 0, 0, 0, 82, 0, 0, 0, 1, 18, 101
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/vending/vending40pMarkov.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/vending/vending5pFSM.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 0, 15, 56
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/vending/vendingFSM.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 10, 33
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/vending/vendingScript.py", "Python", 0, 0, 0, 32, 0, 0, 0, 3, 10, 45
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/vending/vending_make_json.py", "Python", 0, 0, 0, 44, 0, 0, 0, 2, 12, 58
"/Users/charlottecox/Development/dissertation/draft2/src/lib/data/vending/vending_markov.json", "JSON", 0, 0, 0, 0, 91, 0, 0, 0, 0, 91
