"filename", "language", "Svelte", "TypeScript", "Python", "CSV", "PostCSS", "JSON", "XML", "comment", "blank", "total"
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n6500.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n7000.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n7500.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n800.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n8000.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n8500.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n900.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n9000.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM3linear/FSM_bench_3linearpercent_n9500.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM5sqrt/FSM_bench_5percent_n10.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM5sqrt/FSM_bench_5percent_n100.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM5sqrt/FSM_bench_5percent_n1000.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/FSM5sqrt/FSM_bench_5percent_n1200.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
